_NAME_,Factor1,Factor2,Factor3,loaded,factor,pole
v000340,0.4522439311,0.0558652777,-0.272863066,1,fac1,1
v000341,-0.183857246,0.0881023506,0.8418490304,1,fac3,1
v000342,0.3516244453,0.4104734967,0.0320590459,1,fac2,1
v000343,0.5767647026,-0.193624938,-0.045753523,1,fac1,1
v000344,0.3605932658,0.4346267636,-0.023880749,1,fac2,1
v000345,0.5134695338,-0.453615716,0.0403939516,1,fac1,1
v000346,0.3466231432,0.2061081862,0.2035639544,1,fac1,1
v000347,0.5847252038,-0.154847699,0.144463508,1,fac1,1
v000348,0.6196203273,-0.009299343,-0.142011207,1,fac1,1
v000349,0.3968208085,0.2040640309,0.0039364241,1,fac1,1
v000350,0.2634663851,0.3603714996,0.0236818771,1,fac2,1
v000351,0.4385138813,-0.322762307,-0.161736872,1,fac1,1
v000352,0.0061911174,0.3148831935,0.1409370958,1,fac2,1
v000353,-0.144354435,0.4520653501,0.0364528055,1,fac2,1
v000354,0.2940910892,-0.040914651,-0.232889629,0,,
v000355,0.385479518,0.0706239112,-0.029651038,1,fac1,1
v000356,0.6026288824,0.1058819183,0.0878955936,1,fac1,1
v000357,0.2695888929,0.2429965405,0.060904728,0,,
v000358,0.275978282,0.2045817861,-0.302444729,1,fac3,-1
v000359,0.2795072369,0.183398889,-0.064075144,0,,
v000360,0.0904197619,0.5533413717,0.0871015607,1,fac2,1
v000361,-0.038711292,0.5441924301,0.0791052578,1,fac2,1
